Start	Thu Jan 18 12:22:41 2024
Steer:	12:23:21.2348	-0.0016456834273412824
Steer:	12:23:21.2358	-0.0016456834273412824
Steer:	12:23:21.2369	-0.0016456834273412824
Steer:	12:23:21.2379	-0.0016456834273412824
Steer:	12:23:22.2390	-0.0016456834273412824
Steer:	12:23:22.2401	-0.0016456834273412824
Steer:	12:23:22.2411	-0.0016456834273412824
Steer:	12:23:22.2422	-0.0016456834273412824
Steer:	12:23:23.2433	-0.0016456834273412824
Steer:	12:23:23.2443	-0.0016456834273412824
Steer:	12:23:23.2455	-0.0016456834273412824
Steer:	12:23:23.2465	-0.0016456834273412824
Steer:	12:23:24.2477	-0.0016456834273412824
Steer:	12:23:24.2487	-0.0016456834273412824
Steer:	12:23:24.2498	-0.0016456834273412824
Steer:	12:23:24.2510	-0.0016456834273412824
Steer:	12:23:25.2520	-0.0016456834273412824
Steer:	12:23:25.2530	-0.0016456834273412824
Steer:	12:23:25.2541	-0.0016456834273412824
Steer:	12:23:25.2552	-0.0016456834273412824
Steer:	12:23:26.2562	-0.0016456834273412824
Steer:	12:23:26.2572	-0.0016456834273412824
Steer:	12:23:26.2583	-0.0016456834273412824
Steer:	12:23:26.2593	-0.0016456834273412824
Steer:	12:23:27.2604	-0.0016456834273412824
Steer:	12:23:27.2614	-0.0016456834273412824
Steer:	12:23:27.2624	-0.0016456834273412824
Steer:	12:23:27.2634	-0.0016456834273412824
Steer:	12:23:28.2644	-0.0016456834273412824
Steer:	12:23:28.2655	-0.0016456834273412824
Steer:	12:23:28.2667	-0.0016456834273412824
Steer:	12:23:28.2678	-0.0016456834273412824
Steer:	12:23:29.2688	-0.0016456834273412824
Steer:	12:23:29.2699	-0.0016456834273412824
Steer:	12:23:29.2710	-0.0016456834273412824
Steer:	12:23:29.2720	-0.0016456834273412824
Steer:	12:23:30.2731	-0.0016456834273412824
Steer:	12:23:30.2742	-0.0016456834273412824
Steer:	12:23:30.2754	-0.0016456834273412824
Steer:	12:23:30.2764	-0.0016456834273412824
Steer:	12:23:31.2775	-0.0016456834273412824
Steer:	12:23:31.2787	-0.0016456834273412824
Steer:	12:23:31.2797	-0.0016456834273412824
Steer:	12:23:31.2808	-0.0016456834273412824
Steer:	12:23:32.2819	-0.0016456834273412824
Steer:	12:23:32.2829	-0.0016456834273412824
Steer:	12:23:32.2840	-0.0016456834273412824
Steer:	12:23:32.2850	-0.0016456834273412824
Steer:	12:23:33.2861	-0.0016456834273412824
Steer:	12:23:33.2872	-0.0016456834273412824
